,predicted_mean
5/8/2021,0.111161836
5/9/2021,0.120137736
5/10/2021,0.129705668
5/11/2021,0.139894324
5/12/2021,0.150733103
5/13/2021,0.162252086
5/14/2021,0.174482013
5/15/2021,0.187454259
5/16/2021,0.201200805
5/17/2021,0.215754206
5/18/2021,0.231147561
5/19/2021,0.247414478
5/20/2021,0.264589039
5/21/2021,0.28270576
5/22/2021,0.301799552
5/23/2021,0.32190568
5/24/2021,0.343059723
5/25/2021,0.365297521
5/26/2021,0.38865514
5/27/2021,0.413168818
5/28/2021,0.438874916
5/29/2021,0.465809876
5/30/2021,0.494010162
5/31/2021,0.523512215
6/1/2021,0.5543524
6/2/2021,0.586566954
6/3/2021,0.620191931
6/4/2021,0.655263155
6/5/2021,0.691816159
6/6/2021,0.729886141
6/7/2021,0.769507906
6/8/2021,0.810715813
6/9/2021,0.853543726
6/10/2021,0.898024962
6/11/2021,0.944192239
6/12/2021,0.992077625
6/13/2021,1.041712492
6/14/2021,1.093127465
6/15/2021,1.146352377
6/16/2021,1.201416221
6/17/2021,1.258347108
6/18/2021,1.317172222
6/19/2021,1.377917779
6/20/2021,1.440608986
6/21/2021,1.505270007
6/22/2021,1.571923919
6/23/2021,1.640592685
6/24/2021,1.711297116
6/25/2021,1.784056842
6/26/2021,1.858890281
6/27/2021,1.935814615
6/28/2021,2.014845765
6/29/2021,2.095998363
6/30/2021,2.17928574
7/1/2021,2.264719899
7/2/2021,2.352311502
7/3/2021,2.44206986
7/4/2021,2.534002911
7/5/2021,2.628117219
7/6/2021,2.724417964
7/7/2021,2.822908931
7/8/2021,2.923592514
7/9/2021,3.02646971
7/10/2021,3.13154012
7/11/2021,3.238801952
7/12/2021,3.348252025
7/13/2021,3.459885777
7/14/2021,3.573697272
7/15/2021,3.68967921
7/16/2021,3.807822939
7/17/2021,3.928118469
7/18/2021,4.05055449
7/19/2021,4.175118383
7/20/2021,4.301796244
7/21/2021,4.430572901
7/22/2021,4.561431939
7/23/2021,4.694355718
7/24/2021,4.829325402
7/25/2021,4.966320979
7/26/2021,5.105321295
7/27/2021,5.246304074
7/28/2021,5.389245952
7/29/2021,5.534122504
7/30/2021,5.680908275
7/31/2021,5.829576812
8/1/2021,5.980100696
8/2/2021,6.132451575
8/3/2021,6.286600194
8/4/2021,6.442516436
8/5/2021,6.600169347
8/6/2021,6.75952718
8/7/2021,6.920557423
8/8/2021,7.083226839
8/9/2021,7.247501498
