Date,CC
2020-03-26,0.00049
2020-03-27,0.01794916666666667
2020-03-28,0.03540833333333333
2020-03-29,0.052867500000000005
2020-03-30,0.07032666666666668
2020-03-31,0.08778583333333334
2020-04-01,0.10524500000000002
2020-04-02,0.12270416666666668
2020-04-03,0.14016333333333333
2020-04-04,0.1576225
2020-04-05,0.17508166666666666
2020-04-06,0.19254083333333333
2020-04-07,0.21
2020-04-08,0.6704166666666667
2020-04-09,1.1308333333333334
2020-04-10,1.59125
2020-04-11,2.0516666666666667
2020-04-12,2.5120833333333334
2020-04-13,2.9725
2020-04-14,3.432916666666667
2020-04-15,3.8933333333333335
2020-04-16,4.353750000000001
2020-04-17,4.814166666666667
2020-04-18,5.274583333333333
2020-04-19,5.735
2020-04-20,7.211500000000001
2020-04-21,8.688
2020-04-22,10.1645
2020-04-23,11.641000000000002
2020-04-24,13.1175
2020-04-25,14.594000000000001
2020-04-26,16.070500000000003
2020-04-27,17.547
2020-04-28,19.023500000000002
2020-04-29,20.5
2020-04-30,21.213333333333335
2020-05-01,21.926666666666666
2020-05-02,22.64
2020-05-03,23.353333333333335
2020-05-04,24.066666666666666
2020-05-05,24.78
2020-05-06,25.635
2020-05-07,26.490000000000002
2020-05-08,27.345000000000002
2020-05-09,28.200000000000003
2020-05-10,29.055
2020-05-11,29.91
2020-05-12,30.765
2020-05-13,31.62
2020-05-14,33.25666666666667
2020-05-15,34.89333333333333
2020-05-16,36.53
2020-05-17,38.166666666666664
2020-05-18,39.80333333333333
2020-05-19,41.44
2020-05-20,42.44285714285714
2020-05-21,43.44571428571428
2020-05-22,44.44857142857143
2020-05-23,45.45142857142857
2020-05-24,46.45428571428572
2020-05-25,47.457142857142856
2020-05-26,48.46
2020-05-27,49.38
2020-05-28,50.3
2020-05-29,51.22
2020-05-30,52.14
2020-05-31,53.06
2020-06-01,53.98
2020-06-02,54.9
2020-06-03,56.699999999999996
2020-06-04,58.5
2020-06-05,60.3
2020-06-06,62.099999999999994
2020-06-07,63.9
2020-06-08,65.7
2020-06-09,67.5
2020-06-10,69.3
2020-06-11,70.59142857142857
2020-06-12,71.88285714285715
2020-06-13,73.17428571428572
2020-06-14,74.46571428571428
2020-06-15,75.75714285714285
2020-06-16,77.04857142857144
2020-06-17,78.34
2020-06-18,79.26285714285714
2020-06-19,80.18571428571428
2020-06-20,81.10857142857142
2020-06-21,82.03142857142858
2020-06-22,82.95428571428572
2020-06-23,83.87714285714286
2020-06-24,84.8
2020-06-25,86.075
2020-06-26,87.35
2020-06-27,88.625
2020-06-28,89.9
2020-06-29,91.175
2020-06-30,92.45
2020-07-01,92.26714285714286
2020-07-02,92.08428571428571
2020-07-03,91.90142857142857
2020-07-04,91.71857142857144
2020-07-05,91.53571428571429
2020-07-06,91.35285714285715
2020-07-07,91.17
2020-07-08,90.98714285714286
2020-07-09,90.80428571428571
2020-07-10,90.62142857142857
2020-07-11,90.43857142857144
2020-07-12,90.25571428571429
2020-07-13,90.07285714285715
2020-07-14,89.89
2020-07-15,90.812
2020-07-16,91.734
2020-07-17,92.656
2020-07-18,93.578
2020-07-19,94.5
