Date,CH
2020-03-26,0.0
2020-03-27,-0.0006083333333333333
2020-03-28,-0.0012166666666666667
2020-03-29,-0.001825
2020-03-30,-0.0024333333333333334
2020-03-31,-0.0030416666666666665
2020-04-01,-0.00365
2020-04-02,-0.004258333333333334
2020-04-03,-0.004866666666666667
2020-04-04,-0.005475
2020-04-05,-0.006083333333333333
2020-04-06,-0.006691666666666667
2020-04-07,-0.0073
2020-04-08,-0.001358333333333333
2020-04-09,0.004583333333333334
2020-04-10,0.010525
2020-04-11,0.016466666666666668
2020-04-12,0.022408333333333336
2020-04-13,0.02835
2020-04-14,0.03429166666666667
2020-04-15,0.040233333333333336
2020-04-16,0.046175
2020-04-17,0.05211666666666667
2020-04-18,0.05805833333333334
2020-04-19,0.064
2020-04-20,0.0691
2020-04-21,0.0742
2020-04-22,0.07930000000000001
2020-04-23,0.0844
2020-04-24,0.0895
2020-04-25,0.0946
2020-04-26,0.09970000000000001
2020-04-27,0.1048
2020-04-28,0.1099
2020-04-29,0.115
2020-04-30,0.1195
2020-05-01,0.124
2020-05-02,0.1285
2020-05-03,0.133
2020-05-04,0.13749999999999998
2020-05-05,0.142
2020-05-06,0.14625
2020-05-07,0.1505
2020-05-08,0.15475
2020-05-09,0.15899999999999997
2020-05-10,0.16324999999999998
2020-05-11,0.16749999999999998
2020-05-12,0.17174999999999999
2020-05-13,0.176
2020-05-14,0.20833333333333331
2020-05-15,0.24066666666666664
2020-05-16,0.273
2020-05-17,0.30533333333333335
2020-05-18,0.33766666666666667
2020-05-19,0.37
2020-05-20,0.37885714285714284
2020-05-21,0.38771428571428573
2020-05-22,0.3965714285714286
2020-05-23,0.4054285714285714
2020-05-24,0.41428571428571426
2020-05-25,0.42314285714285715
2020-05-26,0.432
2020-05-27,0.4411428571428571
2020-05-28,0.4502857142857143
2020-05-29,0.4594285714285714
2020-05-30,0.4685714285714286
2020-05-31,0.4777142857142857
2020-06-01,0.4868571428571429
2020-06-02,0.496
2020-06-03,0.5165
2020-06-04,0.537
2020-06-05,0.5575
2020-06-06,0.5780000000000001
2020-06-07,0.5985
2020-06-08,0.619
2020-06-09,0.6395
2020-06-10,0.66
2020-06-11,0.6714285714285715
2020-06-12,0.6828571428571428
2020-06-13,0.6942857142857143
2020-06-14,0.7057142857142857
2020-06-15,0.7171428571428572
2020-06-16,0.7285714285714285
2020-06-17,0.74
2020-06-18,0.75
2020-06-19,0.76
2020-06-20,0.77
2020-06-21,0.78
2020-06-22,0.79
2020-06-23,0.8
2020-06-24,0.81
2020-06-25,0.8216666666666668
2020-06-26,0.8333333333333334
2020-06-27,0.845
2020-06-28,0.8566666666666667
2020-06-29,0.8683333333333334
2020-06-30,0.88
2020-07-01,0.8778571428571429
2020-07-02,0.8757142857142857
2020-07-03,0.8735714285714286
2020-07-04,0.8714285714285714
2020-07-05,0.8692857142857143
2020-07-06,0.8671428571428571
2020-07-07,0.865
2020-07-08,0.8628571428571429
2020-07-09,0.8607142857142857
2020-07-10,0.8585714285714285
2020-07-11,0.8564285714285714
2020-07-12,0.8542857142857143
2020-07-13,0.8521428571428571
2020-07-14,0.85
2020-07-15,0.85
2020-07-16,0.85
2020-07-17,0.85
2020-07-18,0.85
2020-07-19,0.85
